crop,rainfall_mm,temp_c,humidity_pct,nitrogen,phosphorus,potassium,ph,yield_t_ha,record_type
Rice,1667.8685121405808,27.336050174726967,73.86457821200985,76.73373993515808,20.833876296435744,44.253674804066755,6.589666329083045,4.39240053189717,bundled_calibration_sample
Rice,1597.6176372566142,30.65026431679207,76.3336133592161,79.80025925003498,45.85921022310842,57.594521719047506,5.805293996896062,4.484727792506445,bundled_calibration_sample
Rice,1890.415051270385,33.03455037646354,75.42490001181451,93.61347124226225,21.39462018548892,36.002850340549635,5.910688433232541,4.676538895679184,bundled_calibration_sample
Rice,2029.5066435783092,27.12299356851814,78.85047823680766,108.3472634534273,21.537483832976474,25.914252475402307,7.337411117288445,4.275798763959638,bundled_calibration_sample
Rice,256.63110933525445,25.66953960371391,65.65873752727086,97.0052070300901,24.3958433114151,50.846226218854405,6.735850284167381,4.247100862926656,bundled_calibration_sample
Rice,1178.7443901818606,30.64811841287892,77.08315459781853,90.12191796250949,40.63743834373481,45.87222431882998,5.916084745412543,4.440067174451108,bundled_calibration_sample
Rice,1392.6182848248282,25.245294999744342,70.20632360381266,73.59704138246697,69.89765404775102,29.513055460012882,6.419434176400497,4.050841901694318,bundled_calibration_sample
Rice,1123.6414780557698,27.700027305844422,68.95937779945224,133.10694611213586,29.589164331086472,27.415500143932924,4.157027052699115,4.110270680621201,bundled_calibration_sample
Rice,2293.1505816704484,22.456274920659375,75.34201947203006,71.92084058077003,49.26248942551164,47.43398069154005,6.212719381847332,4.7226597054619885,bundled_calibration_sample
Rice,3073.202854633417,25.784177796547784,88.67711071191681,114.62318358310254,30.292117734198584,42.56735006494602,4.523314082696352,3.9861404245560013,bundled_calibration_sample
Rice,1337.6260953286983,26.87235341970796,56.21888009084006,65.46594784788864,45.32174065301339,55.276713887274205,5.090717960007481,4.108855119183976,bundled_calibration_sample
Rice,1739.4739164966843,29.77019458975425,76.43415118801076,47.42790474104746,35.90608894885202,42.17882566470904,4.963585146381098,4.385577252166486,bundled_calibration_sample
